,Name,Base_price,Body_style,Seats,Base_Engine,Base_Power,Mileage,Drive,Towing,Min_cargo_L,Front_headroom,Front_legroom,Rear_legroom,Rear_shoulder,Fuel_capacity,Batt,Range
148,2022 Ford Transit Crew,45140,6,5,1,275.0,11.75257731958760,3,6500.0,0.0,40.8,41.3,32.76197916666670,50.65138539042820,95.0,0.0,642.4584382871540
149,2022 Ford Transit Van,41820,6,2,1,275.0,11.75257731958760,3,6900.0,6986.0,40.8,41.3,32.76197916666670,50.65138539042820,95.0,0.0,642.4584382871540
150,2022 Genesis G70,45500,2,5,1,252.0,10.1,1,0.0,297.0,38.5,42.6,34.8,54.6,60.0,0.0,595.0
151,2021 Genesis G80,66500,2,5,1,300.0,9.5,1,0.0,371.0,40.9,42.2,38.7,58.3,65.0,0.0,685.0
152,2022 Genesis G90,89750,2,5,1,420.0,12.8,1,0.0,444.0,41.1,46.3,37.8,57.9,83.0,0.0,649.0
153,2022 Genesis GV70,49500,1,5,1,300.0,9.7,1,3500.0,819.0,39.6,41.3,37.2,56.9,66.0,0.0,682.0
154,2022 Genesis GV80,65500,1,5,1,300.0,10.5,1,6000.0,991.0,40.2,41.6,38.7,58.3,80.0,0.0,761.0
155,2022 GMC Sierra 1500,33848,5,3,1,285.0,13.5,3,10000.0,0.0,43.1,44.5,0.0,0.0,106.0,0.0,786.0
156,2022 GMC Terrain,30598,1,5,1,170.0,8.6,2,1500.0,838.0,40.0,40.9,39.7,55.6,56.0,0.0,653.0
157,2022 GMC Yukon,59648,1,8,1,355.0,14.2,3,8400.0,722.0,42.3,44.5,42.0,64.8,91.0,0.0,643.0
158,2022 GMC Canyon,28648,5,4,1,200.0,10.9,3,7000.0,0.0,41.4,45.0,28.6,57.3,80.0,0.0,731.0
159,2022 GMC Acadia,38498,1,6,1,228.0,9.4,2,4000.0,363.0,40.0,41.0,39.7,58.7,73.0,0.0,774.0
160,2023 GMC Hummer EV,88898,5,5,3,999.0,11.75257731958760,4,7500.0,0.0,42.5,45.6,38.9,64.0,0.0,6.424532710280370,402.0
161,2021 GMC Savana 2500,46448,6,12,1,265.0,11.75257731958760,3,9800.0,2608.0,40.9,41.3,36.3,65.8,117.0,0.0,642.4584382871540
162,2021 GMC Savana Cargo,40648,6,2,1,265.0,11.75257731958760,3,9900.0,6780.0,40.9,41.3,0.0,0.0,117.0,0.0,642.4584382871540
163,2022 GMC Sierra 2500HD,46448,5,3,1,401.0,11.75257731958760,3,18500.0,0.0,43.1,44.5,0.0,0.0,136.0,0.0,642.4584382871540
